Shareholder / Pool,Role / Type,Current Shares,Current Ownership (%),Pre-Seed New Shares,Post-Money Shares,Post-Money Ownership (%),Notes
Murat Furkan Bayram,Founder & CEO / Systems Architect,10000000,100.00%,0,10000000,90.00%,Founding Equity (%100 Current / %90 Post-Money)
Pre-Seed Investor Pool (Angel / SAFE),Seed Equity,0,0.00%,1111111,1111111,10.00%,15.000.000 TL ($500k) @ 150M TL Post-Valuation
TOTAL AUTHORIZED SHARES,Common & Preferred,10000000,100.00%,1111111,11111111,100.00%,Par Value $0.00001 per share


